magnitude,method,mean_corr,std_corr,mean_amari,std_amari,runtime,success_rate
5.0,FastICA-deflation-cube,0.46256842204806387,0.0682782532313869,0.3642258942468432,0.08256570252100733,0.07780409812927246,0.92
5.0,JADE,0.4511769030840662,0.061058978985447473,0.3825094919505754,0.08073993912156704,0.4013453197479248,0.92
5.0,Picard-nonorthogonal,0.44336894891247886,0.06058160250414993,0.3830311836249558,0.07669296006036327,0.17819270133972168,0.92
5.0,Proposed IRLS-l12,0.4654563519113756,0.14563673491262422,0.2594396026965388,0.10331165083520798,1.9291490936279296,0.92
10.0,FastICA-deflation-cube,0.25982191361455287,0.04080452327892857,0.390303528086595,0.07446456408375553,0.08515286445617676,0.92
10.0,JADE,0.26622104855467565,0.04312029109903266,0.40967283958746825,0.10359143490538812,0.36523984909057616,0.92
10.0,Picard-nonorthogonal,0.2578082542898482,0.04183434151540931,0.37576079751644437,0.09339587901119657,0.17486035346984863,0.92
10.0,Proposed IRLS-l12,0.27816672402995274,0.08551502279544435,0.27325194541483344,0.0894244090229873,1.8539633464813232,0.92
20.0,FastICA-deflation-cube,0.1635149309941373,0.022823267770768006,0.409345542093431,0.08511675192518565,0.10305841445922852,0.92
20.0,JADE,0.16327180367582625,0.02220830377255349,0.4157058960424078,0.09952356438804309,0.37362299919128417,0.92
20.0,Picard-nonorthogonal,0.16386908558989344,0.024148617203119123,0.39535708867783326,0.07502262780916484,0.15637480735778808,0.92
20.0,Proposed IRLS-l12,0.15664081704339466,0.04363707075456085,0.2796421548919447,0.08318052151886542,2.0190508556365967,0.92
