metric,competitor,n_pairs,mean_proposed_minus_competitor,wilcoxon_statistic,p_raw,p_holm,significant_0_05,alternative
amari_error,FOBI,200,-0.11807836566874386,1673.0,7.954186211124413e-25,5.567930347787089e-24,True,less
amari_error,FastICA-cube,200,-0.11969294693116826,1789.0,3.3923121887645376e-24,2.0353873132587227e-23,True,less
amari_error,FastICA-deflation-cube,200,-0.11704089251620299,1872.0,9.46040896517542e-24,3.784163586070168e-23,True,less
amari_error,FastICA-deflation-logcosh,200,-0.10668016673629682,2113.0,1.7547658734686025e-22,3.509531746937205e-22,True,less
amari_error,FastICA-exp,200,-0.10751377899036253,1950.0,2.4573692650158226e-23,7.372107795047467e-23,True,less
amari_error,FastICA-logcosh,200,-0.11905900442570366,1513.0,1.0414069330227455e-25,1.0414069330227455e-24,True,less
amari_error,JADE,200,-0.1207128064248546,1591.0,2.8191636920654406e-25,2.5372473228588966e-24,True,less
amari_error,Picard-nonorthogonal,200,-0.11423680697331205,1845.0,6.784227282448128e-24,3.392113641224064e-23,True,less
amari_error,Picard-orthogonal,200,-0.11655514960719966,1637.0,5.050758491954388e-25,4.04060679356351e-24,True,less
amari_error,SOBI,200,-0.11648879352381859,2148.0,2.66269429785747e-22,3.509531746937205e-22,True,less
mean_abs_corr,FOBI,200,0.0010618452615497032,11653.0,0.025236535234304604,0.252365352343046,False,greater
mean_abs_corr,FastICA-cube,200,-0.0056899363019813866,10702.0,0.21314654022382823,0.5035363969505604,False,greater
mean_abs_corr,FastICA-deflation-cube,200,-0.005447871933324441,10839.0,0.16784546565018682,0.5035363969505604,False,greater
mean_abs_corr,FastICA-deflation-logcosh,200,0.0014027166146544563,11569.0,0.03190976612212413,0.2871878950991172,False,greater
mean_abs_corr,FastICA-exp,200,-0.004446080516455307,10996.0,0.12419249318283304,0.49676997273133217,False,greater
mean_abs_corr,FastICA-logcosh,200,-0.003891022849192006,11202.0,0.07991611261979398,0.49171800509368196,False,greater
mean_abs_corr,JADE,200,-0.00582411795869298,10703.0,0.21279198260721505,0.5035363969505604,False,greater
mean_abs_corr,Picard-nonorthogonal,200,-0.003695671392529466,11258.0,0.07024542929909743,0.49171800509368196,False,greater
mean_abs_corr,Picard-orthogonal,200,-0.0041725811361250946,11174.0,0.08511404437946912,0.49171800509368196,False,greater
mean_abs_corr,SOBI,200,-0.0022589146266860528,11561.0,0.03261510277249348,0.2871878950991172,False,greater
